Tecnica,Epoca,Acuracia,Loss,Tempo(s)
Trivial->CutMix,8,49.31,1.9977315935907485,2.959846258163452
Trivial->CutMix,9,49.99,1.9814987258066106,2.822403907775879
Trivial->CutMix,10,48.47,1.942032887965818,2.9170658588409424
Trivial->CutMix,11,52.04,1.919393954397757,2.9916810989379883
Trivial->CutMix,12,51.89,1.9143628727031659,3.01774525642395
Trivial->CutMix,13,53.11,1.8877700869041154,2.8084847927093506
Trivial->CutMix,14,55.27,1.8846559147291546,2.9085588455200195
Trivial->CutMix,15,55.86,1.9095225349257263,2.9366719722747803
Trivial->CutMix,16,56.02,1.8796681663658046,2.9324607849121094
Trivial->CutMix,17,54.6,1.891180906114699,2.967979907989502
Trivial->CutMix,18,56.75,1.816647811781002,2.784301996231079
Trivial->CutMix,19,55.77,1.8589625056785872,2.8086998462677
Trivial->CutMix,20,56.86,1.835031903242763,2.8730218410491943
Trivial->CutMix,21,58.31,1.7987053726292863,2.7636139392852783
Trivial->CutMix,22,58.25,1.7963318100458459,2.827562093734741
Trivial->CutMix,23,56.95,1.786731572090825,2.797621011734009
Trivial->CutMix,24,57.31,1.8245923941648459,2.8527350425720215
Trivial->CutMix,25,57.89,1.7472944606708576,2.8260209560394287
Albument->CutMix,1,33.88,2.178095416177677,2.497514009475708
Albument->CutMix,2,41.48,2.0228328659564636,2.521596908569336
Albument->CutMix,3,43.89,1.9791540511046783,2.4791359901428223
Albument->CutMix,4,43.64,1.9314249361617655,2.4886410236358643
Albument->CutMix,5,47.88,1.9006052484995202,2.509443759918213
Albument->CutMix,6,46.58,1.8678190587442132,2.4584171772003174
Albument->CutMix,7,50.3,1.8401957463614549,2.5016419887542725
Albument->CutMix,8,50.89,1.8192105202735225,2.5593831539154053
Albument->CutMix,9,53.55,1.7884745537480222,2.6604058742523193
Albument->CutMix,10,55.03,1.7877165335643141,2.534406900405884
Albument->CutMix,11,53.26,1.753522909140285,2.488464832305908
Albument->CutMix,12,56.71,1.741866258126271,2.4905309677124023
Albument->CutMix,13,55.9,1.760489804835259,2.507800817489624
Albument->CutMix,14,58.49,1.7362022807326498,4.933624982833862
Albument->CutMix,15,56.84,1.700240298917022,2.6544899940490723
Albument->CutMix,16,58.43,1.6838800107376486,2.473015069961548
Albument->CutMix,17,60.39,1.6909886402419851,2.4951910972595215
Albument->CutMix,18,57.31,1.6501780612559258,2.468442916870117
Albument->CutMix,19,60.93,1.6604249447206907,2.4892032146453857
Albument->CutMix,20,60.97,1.6317306394818463,2.5015218257904053
Albument->CutMix,21,61.39,1.6919720353959482,2.556778907775879
Albument->CutMix,22,61.06,1.6688985794405393,2.5069968700408936
Albument->CutMix,23,61.19,1.591588937029054,2.5006539821624756
Albument->CutMix,24,60.81,1.586081763611564,2.5042500495910645
Albument->CutMix,25,62.39,1.547817657265482,2.5212008953094482
AugMix->CutMix,1,38.18,2.1187809539746634,5.482013940811157
AugMix->CutMix,2,43.06,1.9628004559987708,5.294409990310669
AugMix->CutMix,3,45.9,1.9181633553927457,5.436130046844482
AugMix->CutMix,4,44.8,1.871040632453146,5.5179948806762695
AugMix->CutMix,5,50.54,1.846059782595574,5.304356813430786
AugMix->CutMix,6,49.64,1.7514135415040994,5.272275924682617
AugMix->CutMix,7,53.89,1.760436492630198,5.303944110870361
AugMix->CutMix,8,54.11,1.7120926757402057,5.562584161758423
AugMix->CutMix,9,54.52,1.7098929987678044,5.962875127792358
AugMix->CutMix,10,57.49,1.7014019247851795,5.630239009857178
AugMix->CutMix,11,57.81,1.6818011780328388,5.615255117416382
AugMix->CutMix,12,56.14,1.6465888264813,6.101563215255737
AugMix->CutMix,13,57.7,1.5902127797090555,5.748217821121216
AugMix->CutMix,14,58.25,1.5376897009113166,5.563720941543579
AugMix->CutMix,15,58.52,1.6271046324621272,5.443388938903809
AugMix->CutMix,16,57.68,1.556410010856918,5.529174089431763
AugMix->CutMix,17,58.08,1.5298274566855612,5.602336168289185
AugMix->CutMix,18,58.06,1.5249271166475513,5.442340135574341
AugMix->CutMix,19,59.87,1.4617610905743852,5.468871116638184
AugMix->CutMix,20,59.52,1.4566580200497108,5.346797943115234
AugMix->CutMix,21,59.85,1.4830979191804234,5.796810865402222
AugMix->CutMix,22,60.05,1.4907714037955562,5.299113035202026
AugMix->CutMix,23,59.91,1.5331734788568714,5.502366065979004
AugMix->CutMix,24,60.82,1.410688215418707,5.4596240520477295
AugMix->CutMix,25,59.53,1.36325864173189,5.380005836486816
